Borough,Sector,Year,Employee jobs
Barking and Dagenham,Primary & Utilities,1996,500
Barking and Dagenham,Manufacturing,1996,16000
Barking and Dagenham,Construction,1996,2000
Barking and Dagenham,Wholesale,1996,4000
Barking and Dagenham,Retail,1996,4000
Barking and Dagenham,Transportation and Storage,1996,4000
Barking and Dagenham,Accomodation and food service activities,1996,1250
Barking and Dagenham,Information and Communication,1996,1000
Barking and Dagenham,Financial and insurance activities,1996,1000
Barking and Dagenham,"Professional, Real Estate, Scientific and technical activities",1996,2500
Barking and Dagenham,Administrative and support service activities,1996,3000
Barking and Dagenham,Public Admin and defence,1996,2000
Barking and Dagenham,Education,1996,5000
Barking and Dagenham,Health,1996,2500
Barking and Dagenham,"Arts, entertainment and recreation",1996,700
Barking and Dagenham,Other services,1996,700
Barking and Dagenham,Primary & Utilities,1997,700
Barking and Dagenham,Manufacturing,1997,16000
Barking and Dagenham,Construction,1997,2000
Barking and Dagenham,Wholesale,1997,3500
Barking and Dagenham,Retail,1997,4000
Barking and Dagenham,Transportation and Storage,1997,3500
Barking and Dagenham,Accomodation and food service activities,1997,2000
Barking and Dagenham,Information and Communication,1997,1250
Barking and Dagenham,Financial and insurance activities,1997,1000
Barking and Dagenham,"Professional, Real Estate, Scientific and technical activities",1997,2500
Barking and Dagenham,Administrative and support service activities,1997,3000
Barking and Dagenham,Public Admin and defence,1997,2500
Barking and Dagenham,Education,1997,5000
Barking and Dagenham,Health,1997,2250
Barking and Dagenham,"Arts, entertainment and recreation",1997,600
Barking and Dagenham,Other services,1997,800
Barking and Dagenham,Primary & Utilities,1998,900
Barking and Dagenham,Manufacturing,1998,17000
Barking and Dagenham,Construction,1998,2500
Barking and Dagenham,Wholesale,1998,3500
Barking and Dagenham,Retail,1998,4000
Barking and Dagenham,Transportation and Storage,1998,5000
Barking and Dagenham,Accomodation and food service activities,1998,2250
Barking and Dagenham,Information and Communication,1998,1250
Barking and Dagenham,Financial and insurance activities,1998,1000
Barking and Dagenham,"Professional, Real Estate, Scientific and technical activities",1998,2500
Barking and Dagenham,Administrative and support service activities,1998,3000
Barking and Dagenham,Public Admin and defence,1998,2500
Barking and Dagenham,Education,1998,5000
Barking and Dagenham,Health,1998,2500
Barking and Dagenham,"Arts, entertainment and recreation",1998,450
Barking and Dagenham,Other services,1998,900
Barking and Dagenham,Primary & Utilities,1999,450
Barking and Dagenham,Manufacturing,1999,17000
Barking and Dagenham,Construction,1999,2500
Barking and Dagenham,Wholesale,1999,4000
Barking and Dagenham,Retail,1999,4500
Barking and Dagenham,Transportation and Storage,1999,5000
Barking and Dagenham,Accomodation and food service activities,1999,2250
Barking and Dagenham,Information and Communication,1999,1250
Barking and Dagenham,Financial and insurance activities,1999,1250
Barking and Dagenham,"Professional, Real Estate, Scientific and technical activities",1999,2500
Barking and Dagenham,Administrative and support service activities,1999,3500
Barking and Dagenham,Public Admin and defence,1999,2000
Barking and Dagenham,Education,1999,5000
Barking and Dagenham,Health,1999,2500
